OBJECTID,SEGMENTID,ARCID,PD,PT,SN,ST,SD,GEONAMEID,PRIMARYNAME,ALIAS1,ALIAS2,ALIAS3,ALIAS4,ALIAS5,SURFACETYPE,ONEWAY,RTNAME,RTNUMBER,HWYSIGN,RPCCLASS,AOTCLASS,NUTS,NHS,FUNCL,TWN_LR,ETE_LR,CTCODE,UA,CTUA,CERTCODE,ARCMILES,AOTMILES,AOTMILES_CALC,UPDACT,LOCMETH,SRCORG,SCENICHWY,SCENICBYWAY,FORMER_RTNAME,PROVISIONALYEAR,ANCIENTROADYEAR,TRUCKROUTE,SPEEDLIMIT,ROADCLOSED,ISVISIBLE,CERTYEAR,GlobalID,FIPS8,RTNUMBER_N,RDNAME,RDFLNAME,ISVISIBLE_UC,FUNCL_OLD,Urban_Code,FAID,FED_AID,Facility_Type,PENT,TOWNGEOID,StartNodeID,EndNodeID,Ownership,created_user,created_date,last_edited_user,last_edited_date,UPDATENOTES
7415,30223,150, , ,MERCHANTS ROW,FRK, ,27611,MERCHANTS ROW FRK,,,,,,Paved,Yes - Opposite direction of arc,TH-8,8,TH-8,2,Town Highway Class 2,N,0,5,S59140111,S5914,0111,1,0111-1,0111-0,0.03037443,0.03,0,-,1,26,0,0,,,0,0,,,1,,{DCA74AC3-BF87-4825-B026-2A43DBF141CE},50001055,8,27611,MERCHANTS ROW FRK,1,17,99998,500010550150,5914,2,N,5000144350,30815,30902,3,,,HMSADMIN,2019-10-08T21:35:38.000Z,-
7605,52435,501, , ,WILLARD,ST, ,12185,WILLARD ST,,,,,,Paved,No,TH-70,70,TH-70,3,Town Highway Class 3,N,0,7,L0111003070,-,0111,1,0111-1,0111-0,0.04068251,0.04,0,-,8,26,0,0,,,0,0,,,1,,{053DA4B4-A93A-4A8A-B5EB-0B4666E4B9F5},50001055,70,12185,WILLARD ST,0,19,99998,500010550501,-,2,N,5000144350,3544,29724,3,,,,,-
8023,15072,74, ,,WEYBRIDGE,RD,,23230,WEYBRIDGE RD,RT 23,,,,,Paved,No,TH-1,1,VT-23,2,Town Highway Class 2,N,0,5,S01810122,S0181,0122,0,0122-0,0122-0,0.03937833,0.03,0,-,1,26,0,0,,,0,0,,,1,,{99C9CFE2-0A3B-42B7-A41D-B0D764DA0207},50001110,1,23230,WEYBRIDGE RD,1,7,99999,500011100074,0181,2,N,5000183275,39501,10118,3,,,HMSADMIN,2017-04-04T19:25:54.000Z,-
8118,37419,252,,,BIRCHARD,PARK,,12139,BIRCHARD PARK,,,,,,Paved,No,TH-43,43,TH-43,3,Town Highway Class 3,N,0,7,L0111003043,-,0111,1,0111-1,0111-0,0.19742748,0.21,0,-,1,26,0,0,,,0,0,,,1,,{808B8BF0-455E-4B82-9699-BAF9CF626848},50001055,43,12139,BIRCHARD PARK,0,19,99998,500010550252,-,2,N,5000144350,2817,53985,3,,,HMSADMIN,2018-04-27T17:41:07.000Z,-
8576,52397,98,,,MORNINGSIDE,DR,,12105,MORNINGSIDE DR,,,,,,Paved,No,TH-66,66,TH-66,3,Town Highway Class 3,N,0,7,L0111003066,-,0111,1,0111-1,0111-0,0.10165287,0.11,0.25,-,1,26,0,0,,,0,0,,,1,,{A4CCA583-6F6C-43E9-9FF2-27EB8718850B},50001055,66,12105,MORNINGSIDE DR,0,19,99998,500010550098,-,2,N,5000144350,45193,3547,3,,,,,-
8680,15195,758,S,,MAIN,ST,,12179,S MAIN ST,,,,,,Paved,No,TH-2,2,VT-30,1,Town Highway Class 1,N,0,4,V030-0111,V030,0111,1,0111-1,0111-0,0.1382566,0.144,0.24699999,-,1,26,0,200,,,0,0,,,1,,{F8E4D6A0-6865-4518-9863-6238968E7EF6},50001055,2,12179,S MAIN ST,1,16,99998,500010550758,5900,2,N,5000144350,35380,4429,3,,,,,-
8701,19,159,,,SHANNON,ST,,12106,SHANNON ST,,,,,,Paved,No,TH-61,61,TH-61,3,Town Highway Class 3,N,0,7,L0111003061,-,0111,1,0111-1,0111-0,0.09013388,0.09,0,-,1,26,0,0,,,0,0,,,1,,{A1ACA1F9-8EE7-47F0-AA3B-082B9E849B87},50001055,61,12106,SHANNON ST,0,19,99998,500010550159,-,2,N,5000144350,53980,46517,3,,,HMSADMIN,2018-04-18T17:24:30.000Z,-
8827,41276,85,,,ELM,ST,,12168,ELM ST,,,,,,Paved,No,TH-72,72,TH-72,3,Town Highway Class 3,N,0,5,S59060111,S5906,0111,1,0111-1,0111-0,0.00491662,0.02,0,-,1,26,0,0,,,0,0,,,1,,{6182ACA9-6DEA-42A1-9111-CD866B615691},50001055,72,12168,ELM ST,1,17,99998,500010550085,5906,2,N,5000144350,46630,30941,3,,,HMSADMIN,2019-02-27T22:56:11.000Z,-
9016,18854,74, , ,COLONIAL,DR, ,12172,COLONIAL DR,,,,,,Paved,No,TH-82,82,TH-82,3,Town Highway Class 3,N,0,7,L0111003082,-,0111,1,0111-1,0111-0,0.30343366,0.32,0,-,1,26,0,0,,,0,0,,,1,,{E993F413-26A1-461C-9F04-3904E726C5A0},50001055,82,12172,COLONIAL DR,0,19,99998,500010550074,-,2,N,5000144350,31165,46644,3,,,HMSADMIN,2019-10-30T18:33:15.000Z,-
9297,44976,122,,,SEMINARY ST,EXT,,12216,SEMINARY ST EXT,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,5,S59240111,S5924,0111,1,0111-1,0111-0,0.17682376,0.17,0,-,1,26,0,0,,,0,0,,,1,,{347995E1-2F72-47F3-936A-4A6EEF246253},50001055,7,12216,SEMINARY ST EXT,1,17,99998,500010550122,5924,2,N,5000144350,3545,3388,3,,,HMSADMIN,2018-02-01T19:05:45.000Z,-
